correct,incorrect
doesn't,doesnt
allophones,allopones
didn't,didnt
foundries,foundaries
knowledgeable,knowledgable
enamoured,enamored
attempt,attemt
acceptable,acceptible
concerned,conserned
receiving,recieving
unused,unsed
possible,possable
Caesar,Ceasar
ceremonies,ceremonies
sophisticated,sophicated
developed,developped
actually,actualy
monolithic,monolite
suppressed,supressed
personal,personel
decipher,decypher
suppress,supress
singsong,singsog
controlling,controling
wielded,weilded
emphysema,emphysyma
knowledge,knowlege
control,controll
imminent,emminent
electrically,electricly
agreeing,agreing
consciousness,conciousness
Massachusetts,Massachusetts
vengeance,vengance
guard,gaurd
apartment,appartment
start,strat
transcendence,transcendance
things,thigns
surround,suround
dispense,dispence
larvae,lavae
amendment,admendment
definite,definit
emitted,emmited
mystery,mistery
equipped,equiped
surprise,suprize
veranda,meranda
inaccessible,inaccessable
evidently,evidentally
concept,consept
begging,beggin
excel,excell
barbecue,barbecue
commission,comission
institution,insitution
files,fiels
coordination,coordiantion
exaggerating,exagerating
make,mkea
alleviate,alliviate
administration,adminstration
eminent,eminent
allotted,alotted
manufacturing,manufaturing
shadow,shaddow
referred,refered
obedience,obediance
diphthongs,diphtongs
absorption,absorbtion
deal,dael
unnecessarily,unneccessarily
criticised,critisized
attribute,atribute
allophones,allopones
rhyme,rhymme
extant,extint
millennium,milennium
imperial,empirial
refrigerator,refridgerator
taste,tast
subpoena,sepina
enmity,enmity
very,vyer
asteroid,asteriod
sines,sinse
decision,descision
obstacle,obstacal
electricity,electricty
psychic,psyhic
propagate,propogate
apologetics,apolegetics
confidential,confidental
toward,towrad
Ellis,eles
while,hwile
indispensable,indispensible
eclectic,electic
mucous,mucuous
tentacles,tenacles
spermatozoon,spermatozoan
commandos,commandos
reside,recide
show,sohw
drumming,druming
acquiring,aquiring
subtracting,substracting
beautiful,beatiful
counselors,councellors
levitates,levetates
missel,missle
competent,competent
anonymity,anonimity
more,omre
derived,deriviated
begin,beggin
negligible,negligable
incorruptible,incorruptible
referral,referal
in_spite,inspite
colonnade,collonade
Russian,Russion
write,write
airports,airporta
municipalities,muncipalities
volunteering,volounteering
described,decribed
commandeer,comander
designed,dessigned
negotiate,negociate
unrepentant,unrepentent
solitary,solitary
Saturday,Saterday
neighbour,neigbour
ceremonies,cerimonies
aggressively,aggressively
achieve,achive
symmetrical,symetrical
targeted,targetted
omission,ommision
chairman,chariman
fought,fougth
allophone,allopone
adaptation,adaption
campaign,campain
sincerely,sincerley
tomorrow,tommorow
success,sucess
flourish,fluorish
little,littel
hypocrite,hypocrite
omnivorously,omniverously
success,sucess
characteristics,charistics
languages,laguages
renown,reknown
inappropriate,inappropiate
archaeologists,archeaologists
tomorrow,tommorrow
fled,fleed
accommodation,accomodation
corporation,coorperation
aerial,aeriel
wild,weild
existent,existant
erratically,erratically
thieves,theives
indict,indite
support,wupport
grief,greif
Galatians,Galations
compiler,complier
extravagant,extravagant
assassinations,assasinations
swear,swaer
relieve,releive
transferred,transfered
fluorescent,florescent
autobiography,authobiography
equilibrium,equilibium
grow,grwo
Zionists,Sionists
striven,strived
previous,previous
syphilis,syphyllis
recreational,recrational
disagreement,dissagreement
perturbations,pertubations
lively,livley
servile,cervial
holy,wholy
ringing,rininging
dial,dial
theater,theather
sandwich,sandwhich
villi,villin
apologetics,apolegetics
infiltrate,infilitrate
surprise,surprise
begging,beggin
syphilis,syphyllis
protuberance,protuberance
muscles,muscels
exacerbated,exerbated
surly,surley
think,thiunk
effort,efford
size,sieze
vigor,vigeur
unfortunately,unfortunatly
university,univeristy
ceremony,cerimony
spectacular,spectauclar
Athenian,Athenean
deal,dael
liquefy,liquify
quiet,qtuie
levitating,levetating
preceded,preceded
stubbornness,stubborness
omission,omision
magnolia,magolia
colouration,coloration
supersede,supercede
judicial,judical
harassed,harrased
petition,petetion
dependence,dependance
development,devolopement
detrimental,detremental
proselytizing,proseletyzing
colossal,collosal
tendencies,tendencies
criticized,critisized
phial,fiel
introduced,inctroduced
other,otehr
efficiently,effeciently
enmity,emnity
accomplished,acomplished
pleasant,plesant
ratify,radify
sacrifice,sacrafice
consonants,consonents
diphthong,diphthong
defiance,definance
previous,previvous
supposed,supposed
resembling,ressembling
controversial,controvercial
guaranteed,garanteed
analogous,analogous
room-mate,roomate
response,responce
decidedly,decidely
archeology,archaoelogy
characterized,charaterized
attempts,attemts
Bernoulli,Bernouilli
doesn't,doesnt
beginning,beginnig
regular,regluar
vagina,agina
erratic,eratic
neighbouring,neighbouring
opponent,oponent
constituents,constituants
facilitate,faciliate
learn,leanr
personnel,personnel
wield,weild
commissions,comissions
Libya,Libya
suppressed,surpressed
criticise,critisize
goddess,godess
covered,coverted
Miranda,meranda
restraint,restraunt
dependency,dependancy
taste,tast
rococo,rococo
inhabitants,habitants
Joseph,Jospeh
graffiti,grafitti
traditionally,traditionaly
management,managment
technicians,techicians
regardless,irregardless
prairie,prairy
inhabitants,habitants
incompetent,incompetant
won't,wont
available,avalable
languages,laguages
comprehensive,comphrehensive
admissibility,admissability
orally,erally
millipede,millepede
analytic,analitic
exaggerating,exagerating
during,durring
persuade,pursuade
cloud,coudl
expel,expell
transcendent,transcendant
cartilage,cartilege
despicable,dispicable
pogrom,progrom
university,univesity
expects,spects
canister,cannister
archaeology,archaology
annual,anual
coloration,coloration
controlled,controled
doing,doign
disparate,desparate
sizing,siezing
laid,layed
approaches,approaches
explain,expalin
dominant,dominant
today,todya
beautiful,beautyfull
swear,swaer
want_to,want_to
inevitable,inevitible
Wednesday,wendsay
stringent,stingent
converters,convertors
premiered,premeired
opposition,oposition
missel,missle
remnant,reminent
identical,identicial
today,todya
dimensions,dimensions
attempted,attemted
persuading,pususading
place,place
evidently,evidentally
considered,concidered
within,withing
signatories,signitories
pantomime,pantomine
negotiation,negociation
interrelated,interelated
directly,driectly
imitator,immitator
misdemeanor,misdameanor
acceptable,acceptible
representatives,representives
Ukrainian,Ukranian
calculated,caluclated
accidentally,accidently
working,wroking
friend,freind
manoeuvre,manuever
flirts,firts
torch,tourch
mucous,mucuous
performance,performence
introduce,inctroduce
ridiculous,rediculous
daub,doub
secretary,secretery
electron,electon
embarrassment,embarrasment
dream,deram
conqueror,conquerer
there,ther
note,onot
transcendental,transcendentational
motivated,motiviated
publicly,publically
several,severeal
criticise,critisize
perjury,perjery
nutrients,nutrients
dahl,dael
abandons,abondons
lean,leanr
original,orginal
reconnaissance,reconnaissence
cheat,sheat
committing,commiting
commando,comando
consider,concider
apologies,appologies
receded,receeded
primitively,primatively
while,hwile
very,veyr
principle,priciple
find,fidn
androgynous,androgenous
original,orginal
blamed,blaimed
no_one,noone
concept,consept
debatable,debateable
unfortunately,unfortunatly
levitate,levetate
variety,varity
negotiate,negociate
incunabula,incunabla
accommodations,accomodations
territory,terriory
feels,fiels
record,record
officially,offically
gourd,gaurd
playwright,playwrite
crucifixion,crucifiction
wherever,whereever
having,hvaing
emitting,emmitting
excellent,exelent
nineteenth,ninteenth
taught,teached
rigor,rigeur
constituency,consituency
immigrant,imigrant
licence,lisence
apologetics,apolegetics
covenant,convenant
manoeuvres,manouvers
sacrifice,sacrafice
described,described
manoeuvrable,manouverable
concerned,conserned
eliminating,eleminating
recommend,reccomend
position,postion
habeas,habaeus
obedient,obediant
emission,emission
translators,translators
external,exerternal
forehead,forhead
attained,attaindre
proclamation,proclomation
was,ws
analytic,analitic
impolite,inpolite
relieve,releive
ophthalmic,opthalmic
accomplishment,acomplishment
ides,idesa
tremolo,tremelo
ratify,ratify
north,noth
consummate,consumate
abandoned,abondoned
receiving,recieving
dissatisfaction,disatisfaction
mammal,mamal
indict,indite
manufacture,manufature
accompanied,accompanyed
equipped,equiped
primordial,primordial
souvenirs,souveniers
documents,doccuments
buffaloes,buffalos
criticisms,critisisms
disastrous,disasterous
bout,baout
performs,performs
transferring,transfering
pro_tem,protem
rococo,rococco
primitive,primative
country,ocuntry
they,they
determining,determinining
countries,ocuntries
volunteer,volonteer
else,esle
embezzled,embezelled
absorption,absorbsion
mussels,muscels
successful,successfull
candidate,candadate
hydrophobic,hydrophobic
possibly,possably
execution,excecution
algorithms,algoritms
serval,cervial
copy,cpoy
binomial,binominal
ubiquitous,ubiquitious
accommodation,accomadation
cassowary,cassowarry
successive,succesive
weather,wether
subtract,substract
naturally,naturaly
quickly,quicklyu
since,sicne
chaser,chasr
anonymity,anonimity
their,theri
transmissible,transmissible
daub,doub
adoptive,adoptive
Malcolm,Malcom
paid,payed
preamble,preample
guard,gaurd
apology,appology
predominately,prominately
subtracts,substracts
appealing,appealling
anointing,annointing
dressing,adressing
unnecessarily,unneccessarily
pronunciation,pronounciation
incompetent,incompetant
should,shoudln
attempts,attemts
real,rela
practical,practial
resistible,resistable
counselors,councellors
expel,expell
wholly,wholy
attempted,attemted
oppression,opression
prevalent,prevelant
lot,alot
insidious,ecidious
cassowary,cassowarry
liable,lible
traditionally,traditionaly
beginner,begginer
quantity,quantaty
Muslims,Mohammedans
disintegration,disintegration
agree,agre
appreciate,apprieciate
those,thsoe
strictest,strictist
receding,receeding
clinically,clinically
hypocrisy,hypocricy
those,ethose
recognize,recogize
example,exmaple
government,goverment
comprehensive,comphrehensive
quiet,qtuie
soup,suop
accustomed,acustommed
coy,cpoy
wielded,weilded
occasional,ocasional
evil,efel
guarantees,guarentees
thinking,thikning
deciphered,deciphered
asteroid,asteriod
commander,comander
defined,deffined
backward,ackward
algebraic,algebraic
ideology,idealogy
protagonist,protaganist
instead,instade
correspondents,corrispondants
tonight,tongiht
surly,surly
tome,tiome
fought,faught
verification,verfication
efficiently,efficently
Galatians,Galations
liaison,liason
reevaluated,revaluated
privileged,priveleged
fields,fiels
evidently,evidentally
caterpillar,catterpilar
translators,translaters
Israelis,Israelies
like,liuke
soliloquy,soliliquy
constituencies,consituencies
neighboring,neigbouring
phial,fiel
receives,recieves
theater,theather
emissaries,emmisaries
acquaintances,acquaintances
metallurgical,metalurgical
controversy,controvercy
unpleasant,unplesant
cassette,casette
criticising,critising
apron,apon
sassy,sasy
pejorative,perjorative
exceeded,excedded
noticing,noticeing
governmental,govormental
relieve,releive
shadow,shaddow
subtracts,substracts
surreptitious,surreptious
burin,buring
retaliation,retalitation
converted,coverted
probability,probalibity
approaches,approaches
metallic,metalic
eminently,emminently
Spanish,spainish
monastery,monestary
Sistine,Sixtin
idiosyncratic,ideosyncratic
Zionists,Sionists
possessing,possesing
electrically,electricly
permissible,permissable
notable,noteable
perceived,percieved
recommending,reccomending
simultaneous,simultaneous
take,tkae
colleague,collegue
usable,useable
adaptation,adaptation
eighth,eigth
decompose,decompose
supposing,suposing
transferring,transfering
exaggerate,exagerrate
pheromone,pheromone
propellers,propellors
criticizing,critisizing
ingredients,ingreediants
shining,shining
wife,wief
afford,efford
octahedron,octohedron
controversies,controveries
separation,seperation
arrested,erested
professor,proffesor
century,centruy
preferring,prefering
relatively,relativly
simultaneous,simultanous
successful,succesful
mentioned,maintioned
usable,usable
colonies,collonies
appalling,appealling
guerillas,guerrilas
primitives,primatives
protein,protem
imagine,imagin
than,tahn
consonant,consonent
ceremonious,cerimonious
control,controll
autobiography,authobiography
entrepreneurs,entrepeneurs
gale,gae
Brazilian,Brazilian
resemblance,ressemblence
ceremonial,cerimonial
succeeds,suceeds
cartographer,carthographer
municipalities,municipalities
dressing,adressing
cassowary,cassowarry
Philippine,Philippine
besiege,beseige
Maltese,maltesian
pastime,pastime
quantity,quantitiy
apart,appart
accommodated,accomadated
forerunner,forunner
appearance,appearence
territories,territories
military,millitary
pseudonymous,pseudononymous
sheath,sheat
making,making
dispense,dispence
which,hwihc
not,onot
phials,fiels
controlling,controling
considers,conciders
assistant,assitant
cartridge,cartrige
consciously,conciously
predecessor,precedessor
associated,asociated
imitated,immitated
embezzled,embezelled
achieve,acheive
scholarly,scholarstic
deceived,decieved
surrounded,surrended
dram,deram
rigor,rigor
specialized,speciallized
designed,dessigned
eligible,eligable
pumpkin,pumkin
believes,beleives
dispense,dispence
environments,enviornments
country,ocuntry
emitted,emitted
execute,excecute
influential,influencial
commander,comander
illegitimacy,illegimacy
traditionally,traditionaly
parenthesis,paranthesis
amend,ammend
accession,accension
aggregate,agregate
monolithic,monolite
syphilis,syphyllis
pastoral,pastural
assemble,assemple
assassinates,assasinates
clearer,claerer
prepare,prepair
additionally,additinally
detached,detatched
discovered,dicovered
practitioners,practicioners
assassin,assasin
electron,electron
according,acording
arrangement,arangement
whether,wether
protein,protem
graffiti,grafitti
keratin,keratin
pogrom,progrom
manoeuvrability,manouverability
license,lisence
genealogies,geneologies
incorruptible,incorruptable
Zionists,Sionists
witch,wich
unpleasant,unplesant
anywhere,anyhwere
dream,deram
benefits,benefits
bestiality,bestiality
responsibility,responnsibilty
covenant,convenant
Champagne,Champange
convenient,conveinent
averaged,averageed
empirical,emperical
androgyny,androgeny
